Covidence #,Topics,Databases used,Grey Literature,Unique,UniquePercentNoGrey,UniquePercent,Includes,DatabaseIncludesPercent,GreyLiteratureIncludesPercent,Other sources searched,MedlineAverage,Medline,PubMed,CINAHL,Cochrane Library,Cochrane Central,Embase,ERIC,PEDro,PsycINFO,Scopus,Web of Science,ABI/INFORM,Academic Search Complete,Academic Search Premier,ACM,ACP,AEI,AESC,AgeLine,Agricola,AGRIS,AHM,AIM,Airiti,AJOL,AMED,Annual Review,Anthropology Plus,ASSIA,ASTS,ASU,ATLA,AUSPORT,AWI,BanglaJol,BAS,BBO,BDENF,BEI,Biological Abstracts,BIOSIS,BMC,BNI,BrainMap,BSC,Business Source Complete,Business Source Elite,Business Source Premier,BVS,BVS Vet,CAB,CABI,Cairn,CAJ,Capes Periodicos,CBCA,CBM,CDAS,CDSR,CEA,CEBAM,Chaoxing,CiNii,CJA,ClinicalKey,CMAD,CNKI,COAP,COHG,Communication Source,Communications and Mass Media Complete,Compendex,CoronaCentral,Coronavirus Research Database,CPI,CRD,CUIDEN,DARE,Dbpia,Dialnet,DOAJ,DOSS,EAA,EBM Reviews,EconBiz,EconLit,EconPapers,Education Full Text,Education Research Complete,Education Source,EKB,eLibrary.ru,Emcare,Emerald,EMF,ENFISPO,Engineering Village,Environment Complete,Epistemonikos,ERN,Erudit,ESCI,Europe PMC,FSTA,Garuda,Gender Studies,GenderWatch,GHL,GIM,Global Health,Greenfile,HAMC,HAPI,Health Research Premium,Health Source,HealthSTAR,HEED,HFT,HII,Hinari,Historical Abstracts,HMIC,HPRC,IASJ,IBECS,IBSS,IBTD,Ichushi-Web,ICL,IDEAS,IEEE Xplore,IMBIOMED,IMEMR,IMSEAR,Index Islamicus,IndexPsi,Inspec,IPA,IranMedex,ISJD,JBI,JMEDPlus,Journals@Ovid,JSTOR,Jurn,KCI,KISS,KMbase,KoreaMed,KTKP,LGBTQ+ Source,LILACS,LISSA,LISTA,LitCovid,LIVIVO,LLBA,LOVE,Magiran,MasterFILE,Maternity and Infant Care,MDPI,Medes,Medic,MedicLatina,MINERVA,MLAIB,MPD,NAHC,NCJRS,NCL,NDSL,NHS EED,NTIS,OASIS,OSTMED,OTseeker,Ovid Nursing,PakMediNet,PBSC,PEDE,PEI,PePsic,PHD,Philosopher's Index,PLOS,PMC,Popline,PreMedline,Proquest Central,Proquest Education Database,Proquest Health & Medical,Proquest Nursing & Allied Health,Proquest Psychology Database,Proquest Sociology,PSICODOC,PsycARTICLES,PsycNet,PSYNDEX,PTSDpubs,PubPsych,PubSpace,Qikan,Redalyc,REDIB,REHABDATA,REPEC,Retraction Watch,RILM,RRA,RSMS,Rx for Change,Sage,Saudi Digital Library,ScHARRHUD,SCI,SciELO,Science.gov,ScienceDirect,ScienceON,Scilit,SID,Sinomed,SMEI,SocINDEX,Sociological Abstracts,speechBITE,SPIE,SPORTDiscus,SPP,Springer,SSA,SSCI,SSD,SSFT,SSPC,STC,SURF,SveMed,SWA,TANDF,Teacher Reference Center,TEL,ThaiJo,TRDizin,TRID,Trip,VIP,Virology and AIDS Abstracts,Wanfang,WAO,WHO COVID,WIKISTIM,Wiley,WorldWideScience,WPRIM,WSI,Yiigle
5917,"Allied Health; Psychology, Psychiatry and Mental Health; Art/music/drama therapy",CINAHL; Cochrane Central; PsycINFO,28,765,83%,83%,16,2%,2%,Citation searching (forward or backward); Theses or dissertations,298,298,,97,,104,,,,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9757,"Allied Health; Psychology, Psychiatry and Mental Health; Art/music/drama therapy",Embase; Web of Science,18,56059,88%,88%,12,0%,0%,"Citation searching (forward or backward); Scholarly search engines (Google Scholar, ResearchGate, etc)",7361,7361,,,,,25271,,,,,31046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12287,"Allied Health; Psychology, Psychiatry and Mental Health; Art/music/drama therapy",CBM; CNKI; Cochrane Library; Embase; VIP; Wanfang; Web of Science,,,,,21,0%,0%,,736,,736,,971,,209,,,,,1218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,705,,,,,,,,,,569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,,344,,,,,,,,
10109,"Allied Health; Psychology, Psychiatry and Mental Health; Art/music/drama therapy",CINAHL; CNKI; Cochrane Library; ScienceDirect; Scopus; VIP; Wanfang; Web of Science,,129915,99%,99%,18,0%,0%,,980,,980,126415,252,,,,,,1656,1101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,,269,,,,,,,,
10522,"Allied Health; Psychology, Psychiatry and Mental Health; Art/music/drama therapy; Recreation therapy",Cochrane Library; Embase; PsycINFO,135,55,79%,79%,17,24%,8%,"Scholarly search engines (Google Scholar, ResearchGate, etc)",21,,21,,4,,34,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Allied Health; Medicine; Cancer; Art/music/drama therapy; Spiritual care,CINAHL; Cochrane Library; Embase; Web of Science,,844,92%,92%,7,1%,1%,,91,,91,22,76,,569,,,,,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15957,Allied Health; Medicine; Complementary and alternative medicine; Stroke; Audiology and speech-language pathology,CNKI; Cochrane Library; Embase; VIP; Wanfang,,623,59%,59%,16,2%,2%,,21,,21,,22,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,,478,,,,,,,,
3800,Allied Health; Medicine; Congenital disorders; Audiology and speech-language pathology,ERIC; PsycINFO; Scopus; Web of Science,25,137,80%,80%,14,8%,7%,"Citation searching (forward or backward); Hand searching (specific journals, conferences, websites); Previous reviews",21,21,,,,,,4,,28,73,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12969,Allied Health; Medicine; Ear and hearing; Neurological; Audiology and speech-language pathology,Cochrane Library; Embase,,3243,94%,94%,31,1%,1%,,1930,,1930,,247,,1289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4459,Allied Health; Medicine; Ear and hearing; Pediatrics and neonatology; Audiology and speech-language pathology,Cochrane Library; Embase; LILACS; Scopus; Web of Science,369,734,133%,80%,6,1%,1%,"Citation searching (forward or backward); Scholarly search engines (Google Scholar, ResearchGate, etc); Theses or dissertations",113,,113,,9,,36,,,,285,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
